id_Participantes;;id_Acidente;;pessoas;;mortos;;feridos_leves;;feridos_graves;;ilesos;;ignorados;;feridos;;veiculos;;;
241;,;241;,;6;,;0;,;4;,;0;,;2;,;0;,;4;,;2;");";;
242;,;242;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;
243;,;243;,;2;,;0;,;1;,;0;,;1;,;0;,;1;,;2;");";;
244;,;244;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;
245;,;245;,;3;,;0;,;1;,;0;,;2;,;0;,;1;,;3;");";;
246;,;246;,;1;,;0;,;1;,;0;,;0;,;0;,;1;,;1;");";;
247;,;247;,;1;,;0;,;1;,;0;,;0;,;0;,;1;,;1;");";;
248;,;248;,;1;,;0;,;1;,;0;,;0;,;0;,;1;,;1;");";;
249;,;249;,;3;,;0;,;0;,;0;,;2;,;1;,;0;,;2;");";;
250;,;250;,;6;,;0;,;3;,;0;,;3;,;0;,;3;,;4;");";;
251;,;251;,;2;,;0;,;1;,;0;,;1;,;0;,;1;,;2;");";;
252;,;252;,;3;,;0;,;0;,;0;,;2;,;1;,;0;,;2;");";;
253;,;253;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;
254;,;254;,;2;,;0;,;0;,;1;,;1;,;0;,;1;,;2;");";;
255;,;255;,;3;,;0;,;2;,;0;,;1;,;0;,;2;,;2;");";;
256;,;256;,;2;,;0;,;1;,;0;,;1;,;0;,;1;,;2;");";;
257;,;257;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;
258;,;258;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;
259;,;259;,;1;,;0;,;1;,;0;,;0;,;0;,;1;,;1;");";;
260;,;260;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;
261;,;261;,;3;,;0;,;0;,;0;,;3;,;0;,;0;,;2;");";;
262;,;262;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;1;");";;
263;,;263;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;
264;,;264;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;
265;,;265;,;2;,;0;,;1;,;0;,;1;,;0;,;1;,;2;");";;
266;,;266;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;
267;,;267;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;1;");";;
268;,;268;,;3;,;0;,;0;,;0;,;3;,;0;,;0;,;2;");";;
269;,;269;,;2;,;0;,;1;,;0;,;1;,;0;,;1;,;2;");";;
270;,;270;,;1;,;0;,;1;,;0;,;0;,;0;,;1;,;1;");";;
271;,;271;,;6;,;1;,;2;,;1;,;2;,;0;,;3;,;3;");";;
272;,;272;,;2;,;0;,;1;,;0;,;1;,;0;,;1;,;2;");";;
273;,;273;,;1;,;1;,;0;,;0;,;0;,;0;,;0;,;1;");";;
274;,;274;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;
275;,;275;,;2;,;1;,;0;,;0;,;1;,;0;,;0;,;1;");";;
276;,;276;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;
277;,;277;,;3;,;0;,;0;,;2;,;1;,;0;,;2;,;2;");";;
