id_Condicoes;;id_Acidente;;condicao_metereologica;;sentido_via;;tipo_pista;;tracado_via;;fase_dia;
196;,;196;,';Céu Claro;',';Crescente;',';Múltipla;',';Reta;',';Pleno dia;"');"
197;,;197;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');"
198;,;198;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');"
199;,;199;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');"
200;,;200;,';Céu Claro;',';Decrescente;',';Dupla;',';Retorno Regulamentado;',';Pleno dia;"');"
201;,;201;,';Céu Claro;',';Decrescente;',';Dupla;',';Não Informado;',';Plena Noite;"');"
202;,;202;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');"
203;,;203;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');"
204;,;204;,';Céu Claro;',';Crescente;',';Simples;',';Não Informado;',';Pleno dia;"');"
205;,;205;,';Nublado;',';Decrescente;',';Simples;',';Desvio Temporário;',';Plena Noite;"');"
206;,;206;,';Céu Claro;',';Crescente;',';Dupla;',';Reta;',';Pleno dia;"');"
207;,;207;,';Céu Claro;',';Crescente;',';Dupla;',';Reta;',';Pleno dia;"');"
208;,;208;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Plena Noite;"');"
209;,;209;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Plena Noite;"');"
210;,;210;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Plena Noite;"');"
211;,;211;,';Céu Claro;',';Crescente;',';Simples;',';Curva;',';Plena Noite;"');"
212;,;212;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');"
213;,;213;,';Sol;',';Decrescente;',';Dupla;',';Reta;',';Pleno dia;"');"
214;,;214;,';Chuva;',';Decrescente;',';Simples;',';Reta;',';Plena Noite;"');"
215;,;215;,';Céu Claro;',';Crescente;',';Dupla;',';Reta;',';Pleno dia;"');"
216;,;216;,';Nublado;',';Decrescente;',';Simples;',';Reta;',';Anoitecer;"');"
217;,;217;,';Céu Claro;',';Decrescente;',';Simples;',';Rotatória;',';Plena Noite;"');"
218;,;218;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Amanhecer;"');"
219;,;219;,';Sol;',';Crescente;',';Dupla;',';Reta;',';Pleno dia;"');"
220;,;220;,';Nublado;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');"
221;,;221;,';Céu Claro;',';Decrescente;',';Dupla;',';Reta;',';Pleno dia;"');"
222;,;222;,';Céu Claro;',';Decrescente;',';Simples;',';Curva;',';Pleno dia;"');"
223;,;223;,';Sol;',';Decrescente;',';Dupla;',';Reta;',';Pleno dia;"');"
224;,;224;,';Céu Claro;',';Decrescente;',';Dupla;',';Reta;',';Pleno dia;"');"
225;,;225;,';Céu Claro;',';Decrescente;',';Simples;',';Curva;',';Plena Noite;"');"
226;,;226;,';Nublado;',';Decrescente;',';Dupla;',';Ponte;',';Plena Noite;"');"
227;,;227;,';Nublado;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');"
228;,;228;,';Céu Claro;',';Crescente;',';Dupla;',';Reta;',';Pleno dia;"');"
229;,;229;,';Céu Claro;',';Crescente;',';Dupla;',';Reta;',';Plena Noite;"');"
230;,;230;,';Sol;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');"
231;,;231;,';Céu Claro;',';Decrescente;',';Simples;',';Não Informado;',';Pleno dia;"');"
232;,;232;,';Nublado;',';Decrescente;',';Dupla;',';Interseção de vias;',';Pleno dia;"');"
233;,;233;,';Céu Claro;',';Crescente;',';Dupla;',';Não Informado;',';Plena Noite;"');"
234;,;234;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Plena Noite;"');"
235;,;235;,';Céu Claro;',';Decrescente;',';Dupla;',';Curva;',';Plena Noite;"');"
236;,;236;,';Céu Claro;',';Decrescente;',';Dupla;',';Reta;',';Pleno dia;"');"
237;,;237;,';Céu Claro;',';Crescente;',';Dupla;',';Rotatória;',';Pleno dia;"');"
238;,;238;,';Nublado;',';Decrescente;',';Simples;',';Reta;',';Plena Noite;"');"
239;,;239;,';Céu Claro;',';Crescente;',';Simples;',';Interseção de vias;',';Plena Noite;"');"
240;,;240;,';Céu Claro;',';Crescente;',';Simples;',';Retorno Regulamentado;',';Plena Noite;"');"
241;,;241;,';Céu Claro;',';Crescente;',';Dupla;',';Reta;',';Pleno dia;"');"
242;,;242;,';Sol;',';Crescente;',';Dupla;',';Reta;',';Pleno dia;"');"
243;,;243;,';Nublado;',';Crescente;',';Simples;',';Reta;',';Plena Noite;"');"
244;,;244;,';Céu Claro;',';Crescente;',';Simples;',';Curva;',';Anoitecer;"');"
245;,;245;,';Sol;',';Decrescente;',';Dupla;',';Não Informado;',';Pleno dia;"');"
246;,;246;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Plena Noite;"');"
247;,;247;,';Céu Claro;',';Crescente;',';Simples;',';Não Informado;',';Plena Noite;"');"
248;,;248;,';Céu Claro;',';Decrescente;',';Simples;',';Curva;',';Plena Noite;"');"
249;,;249;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');"
250;,;250;,';Sol;',';Crescente;',';Simples;',';Não Informado;',';Pleno dia;"');"
251;,;251;,';Nublado;',';Decrescente;',';Simples;',';Reta;',';Plena Noite;"');"
252;,;252;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Plena Noite;"');"
253;,;253;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Amanhecer;"');"
254;,;254;,';Nublado;',';Crescente;',';Simples;',';Reta;',';Amanhecer;"');"
255;,;255;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');"
256;,;256;,';Sol;',';Crescente;',';Simples;',';Interseção de vias;',';Pleno dia;"');"
257;,;257;,';Nublado;',';Crescente;',';Dupla;',';Reta;',';Plena Noite;"');"
258;,;258;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');"
259;,;259;,';Céu Claro;',';Crescente;',';Dupla;',';Reta;',';Pleno dia;"');"
260;,;260;,';Céu Claro;',';Crescente;',';Simples;',';Túnel;',';Pleno dia;"');"
261;,;261;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');"
262;,;262;,';Sol;',';Crescente;',';Simples;',';Curva;',';Pleno dia;"');"
263;,;263;,';Nublado;',';Crescente;',';Dupla;',';Reta;',';Pleno dia;"');"
264;,;264;,';Céu Claro;',';Decrescente;',';Simples;',';Rotatória;',';Pleno dia;"');"
265;,;265;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');"
266;,;266;,';Céu Claro;',';Decrescente;',';Simples;',';Rotatória;',';Pleno dia;"');"
267;,;267;,';Céu Claro;',';Decrescente;',';Dupla;',';Reta;',';Pleno dia;"');"
268;,;268;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Plena Noite;"');"
269;,;269;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Plena Noite;"');"
270;,;270;,';Chuva;',';Crescente;',';Simples;',';Curva;',';Pleno dia;"');"
271;,;271;,';Garoa/Chuvisco;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');"
272;,;272;,';Chuva;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');"
273;,;273;,';Nublado;',';Crescente;',';Simples;',';Curva;',';Plena Noite;"');"
274;,;274;,';Céu Claro;',';Crescente;',';Simples;',';Reta;',';Plena Noite;"');"
275;,;275;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Plena Noite;"');"
276;,;276;,';Chuva;',';Decrescente;',';Dupla;',';Reta;',';Pleno dia;"');"
277;,;277;,';Céu Claro;',';Crescente;',';Simples;',';Curva;',';Plena Noite;"');"
278;,;278;,';Nublado;',';Crescente;',';Dupla;',';Reta;',';Plena Noite;"');"
279;,;279;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Plena Noite;"');"
280;,;280;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Anoitecer;"');"
281;,;281;,';Chuva;',';Decrescente;',';Simples;',';Não Informado;',';Plena Noite;"');"
282;,;282;,';Nublado;',';Decrescente;',';Múltipla;',';Não Informado;',';Amanhecer;"');"
283;,;283;,';Sol;',';Decrescente;',';Múltipla;',';Reta;',';Pleno dia;"');"
284;,;284;,';Céu Claro;',';Crescente;',';Dupla;',';Interseção de vias;',';Anoitecer;"');"
285;,;285;,';Céu Claro;',';Crescente;',';Dupla;',';Reta;',';Pleno dia;"');"
286;,;286;,';Céu Claro;',';Crescente;',';Simples;',';Curva;',';Pleno dia;"');"
287;,;287;,';Sol;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');"
288;,;288;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Plena Noite;"');"
