idTipo;;idAcidente;;atropelamento;;capotagem;;choqueObjFixo;;colisao;;colisaoLat;;naoInf;;outro;;tombamento;
265;,;265;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;");"
266;,;266;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;");"
267;,;267;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;");"
268;,;268;,;1;,;0;,;1;,;0;,;0;,;0;,;0;,;0;");"
269;,;269;,;1;,;0;,;0;,;1;,;0;,;0;,;0;,;0;");"
270;,;270;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;");"
271;,;271;,;0;,;0;,;1;,;0;,;0;,;0;,;0;,;0;");"
272;,;272;,;0;,;0;,;0;,;0;,;0;,;0;,;1;,;0;");"
273;,;273;,;1;,;1;,;1;,;0;,;0;,;0;,;0;,;1;");"
274;,;274;,;0;,;0;,;1;,;1;,;0;,;0;,;0;,;0;");"
275;,;275;,;1;,;0;,;1;,;6;,;0;,;0;,;0;,;0;");"
276;,;276;,;1;,;0;,;0;,;1;,;0;,;0;,;0;,;0;");"
277;,;277;,;0;,;1;,;0;,;2;,;0;,;0;,;0;,;0;");"
278;,;278;,;1;,;0;,;0;,;1;,;1;,;0;,;1;,;1;");"
279;,;279;,;0;,;0;,;0;,;3;,;0;,;0;,;0;,;0;");"
280;,;280;,;3;,;0;,;4;,;5;,;4;,;0;,;0;,;1;");"
281;,;281;,;0;,;1;,;1;,;2;,;0;,;0;,;0;,;0;");"
282;,;282;,;0;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");"
283;,;283;,;1;,;0;,;0;,;2;,;0;,;0;,;0;,;0;");"
284;,;284;,;1;,;0;,;0;,;2;,;1;,;0;,;0;,;0;");"
285;,;285;,;1;,;0;,;0;,;1;,;1;,;0;,;0;,;0;");"
286;,;286;,;0;,;0;,;0;,;0;,;0;,;0;,;0;,;1;");"
287;,;287;,;3;,;1;,;2;,;3;,;0;,;2;,;0;,;1;");"
288;,;288;,;1;,;0;,;0;,;1;,;0;,;0;,;1;,;0;");"
289;,;289;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;");"
290;,;290;,;0;,;0;,;1;,;0;,;0;,;0;,;0;,;0;");"
291;,;291;,;0;,;0;,;1;,;2;,;0;,;0;,;0;,;2;");"
292;,;292;,;2;,;1;,;0;,;1;,;0;,;0;,;1;,;1;");"
293;,;293;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;");"
294;,;294;,;1;,;0;,;2;,;3;,;1;,;1;,;0;,;0;");"
295;,;295;,;0;,;1;,;0;,;1;,;0;,;0;,;0;,;0;");"
296;,;296;,;0;,;0;,;1;,;2;,;4;,;0;,;0;,;0;");"
297;,;297;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;");"
298;,;298;,;0;,;0;,;1;,;2;,;0;,;0;,;0;,;0;");"
