idPart;;idAcidente;;Carona Moto;;Carroceiro;;Ciclista;;Condutor;;Motociclista;;Não Inf.;;Outros;;Passageiro;;Pedestre;
149;,;149;,;0;,;0;,;0;,;0;,;0;,;0;,;0;,;0;,;1;");"
150;,;150;,;0;,;0;,;0;,;1;,;1;,;0;,;0;,;1;,;0;");"
151;,;151;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;1;,;0;");"
152;,;152;,;0;,;0;,;0;,;4;,;0;,;0;,;0;,;4;,;0;");"
153;,;153;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;,;0;");"
154;,;154;,;0;,;0;,;0;,;2;,;1;,;0;,;0;,;1;,;0;");"
155;,;155;,;0;,;0;,;0;,;3;,;6;,;0;,;0;,;1;,;3;");"
156;,;156;,;0;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;");"
157;,;157;,;0;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;");"
158;,;158;,;0;,;0;,;1;,;1;,;0;,;0;,;0;,;0;,;0;");"
159;,;159;,;0;,;0;,;0;,;0;,;0;,;1;,;0;,;0;,;0;");"
160;,;160;,;0;,;0;,;0;,;0;,;1;,;0;,;0;,;1;,;2;");"
161;,;161;,;1;,;0;,;0;,;2;,;1;,;0;,;0;,;0;,;1;");"
162;,;162;,;0;,;0;,;0;,;0;,;0;,;0;,;0;,;1;,;0;");"
163;,;163;,;0;,;0;,;0;,;4;,;0;,;0;,;0;,;3;,;0;");"
164;,;164;,;0;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;");"
165;,;165;,;0;,;0;,;0;,;1;,;1;,;0;,;0;,;2;,;0;");"
166;,;166;,;0;,;0;,;0;,;0;,;0;,;0;,;0;,;0;,;1;");"
167;,;167;,;0;,;0;,;0;,;1;,;1;,;0;,;0;,;0;,;3;");"
168;,;168;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;,;0;");"
169;,;169;,;0;,;0;,;4;,;3;,;7;,;0;,;0;,;5;,;3;");"
170;,;170;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;,;1;");"
171;,;171;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;,;0;");"
172;,;172;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;,;0;");"
173;,;173;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;,;0;");"
174;,;174;,;0;,;0;,;0;,;2;,;0;,;0;,;0;,;0;,;0;");"
175;,;175;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;1;,;0;");"
176;,;176;,;1;,;0;,;0;,;1;,;1;,;0;,;0;,;1;,;2;");"
177;,;177;,;0;,;0;,;0;,;2;,;0;,;0;,;0;,;2;,;1;");"
178;,;178;,;0;,;0;,;1;,;1;,;1;,;0;,;0;,;1;,;2;");"
179;,;179;,;0;,;0;,;0;,;3;,;1;,;0;,;0;,;1;,;0;");"
180;,;180;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;3;,;3;");"
181;,;181;,;0;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;1;");"
182;,;182;,;0;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;");"
183;,;183;,;1;,;0;,;1;,;5;,;8;,;0;,;1;,;0;,;10;");"
184;,;184;,;1;,;0;,;3;,;3;,;4;,;0;,;0;,;2;,;2;");"
185;,;185;,;0;,;0;,;0;,;1;,;2;,;0;,;0;,;3;,;2;");"
186;,;186;,;0;,;0;,;0;,;1;,;3;,;0;,;0;,;1;,;1;");"
187;,;187;,;0;,;0;,;0;,;0;,;5;,;0;,;0;,;0;,;0;");"
188;,;188;,;0;,;0;,;1;,;2;,;1;,;0;,;0;,;0;,;1;");"
189;,;189;,;0;,;0;,;1;,;1;,;0;,;0;,;0;,;2;,;0;");"
190;,;190;,;0;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;1;");"
191;,;191;,;0;,;0;,;2;,;2;,;0;,;0;,;0;,;0;,;1;");"
192;,;192;,;0;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;");"
193;,;193;,;0;,;0;,;1;,;11;,;9;,;0;,;0;,;7;,;1;");"
194;,;194;,;0;,;1;,;1;,;0;,;1;,;0;,;0;,;0;,;0;");"
195;,;195;,;2;,;0;,;1;,;7;,;10;,;0;,;0;,;5;,;11;");"
196;,;196;,;0;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;");"
197;,;197;,;0;,;0;,;0;,;2;,;0;,;0;,;0;,;1;,;1;");"
198;,;198;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;,;0;");"
199;,;199;,;0;,;0;,;0;,;1;,;1;,;0;,;0;,;1;,;0;");"
200;,;200;,;0;,;0;,;0;,;4;,;2;,;0;,;0;,;0;,;0;");"
201;,;201;,;0;,;0;,;0;,;0;,;0;,;0;,;0;,;1;,;1;");"
202;,;202;,;1;,;0;,;0;,;0;,;0;,;0;,;0;,;0;,;5;");"
203;,;203;,;1;,;0;,;8;,;12;,;24;,;1;,;0;,;6;,;32;");"
204;,;204;,;0;,;0;,;1;,;2;,;0;,;0;,;0;,;3;,;0;");"
205;,;205;,;0;,;0;,;0;,;1;,;1;,;0;,;0;,;1;,;0;");"
206;,;206;,;0;,;0;,;1;,;1;,;0;,;0;,;0;,;0;,;1;");"
207;,;207;,;0;,;0;,;0;,;0;,;0;,;0;,;0;,;0;,;1;");"
208;,;208;,;0;,;0;,;0;,;0;,;4;,;0;,;0;,;0;,;1;");"
209;,;209;,;0;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;1;");"
210;,;210;,;0;,;0;,;2;,;6;,;6;,;0;,;0;,;2;,;11;");"
211;,;211;,;0;,;0;,;0;,;3;,;4;,;0;,;0;,;0;,;1;");"
212;,;212;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;,;0;");"
213;,;213;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;,;0;");"
214;,;214;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;1;,;0;");"
215;,;215;,;0;,;0;,;0;,;3;,;0;,;0;,;0;,;0;,;0;");"
216;,;216;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;1;,;0;");"
217;,;217;,;0;,;0;,;0;,;3;,;0;,;0;,;0;,;0;,;3;");"
218;,;218;,;0;,;0;,;0;,;2;,;0;,;0;,;0;,;0;,;1;");"
219;,;219;,;0;,;0;,;0;,;0;,;2;,;0;,;0;,;0;,;1;");"
220;,;220;,;0;,;0;,;0;,;0;,;1;,;0;,;0;,;0;,;0;");"
221;,;221;,;0;,;0;,;0;,;0;,;1;,;0;,;0;,;1;,;0;");"
222;,;222;,;1;,;0;,;0;,;3;,;1;,;0;,;0;,;1;,;0;");"
223;,;223;,;0;,;0;,;3;,;5;,;7;,;0;,;0;,;5;,;2;");"
224;,;224;,;0;,;0;,;0;,;0;,;0;,;0;,;0;,;1;,;0;");"
225;,;225;,;1;,;0;,;2;,;11;,;7;,;0;,;0;,;5;,;11;");"
