id_Condicoes;;id_Acidente;;condicao_metereologica;;sentido_via;;tipo_pista;;tracado_via;;fase_dia;;;;;
247;,;247;,';Céu Claro;',';Decrescente;',';Dupla;',';Reta;',';Plena Noite;"');";;;;
248;,;248;,';Chuva;',';Crescente;',';Simples;',';Reta;',';Plena Noite;"');";;;;
249;,;249;,';Céu Claro;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');";;;;
250;,;250;,';Céu Claro;',';Crescente;',';Simples;',';Curva;',';Pleno dia;"');";;;;
251;,;251;,';Nublado;',';Crescente;',';Dupla;',';Reta;',';Pleno dia;"');";;;;
252;,;252;,';Nublado;',';Decrescente;',';Dupla;',';Reta;',';Pleno dia;"');";;;;
253;,;253;,';Céu Claro;',';Crescente;',';Simples;',';Curva;',';Pleno dia;"');";;;;
254;,;254;,';Sol;',';Decrescente;',';Simples;',';Reta;',';Pleno dia;"');";;;;
255;,;255;,';Céu Claro;',';Crescente;',';Dupla;',';Não Informado;',';Pleno dia;"');";;;;
256;,;256;,';Sol;',';Decrescente;',';Dupla;',';Reta;',';Pleno dia;"');";;;;
257;,;257;,';Nublado;',';Decrescente;',';Simples;',';Curva;',';Pleno dia;"');";;;;
258;,;258;,';Céu Claro;',';Decrescente;',';Simples;',';Não Informado;',';Pleno dia;"');";;;;
259;,;259;,';Sol;',';Decrescente;',';Dupla;',';Reta;',';Pleno dia;"');";;;;
260;,;260;,';Nublado;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');";;;;
261;,;261;,';Sol;',';Crescente;',';Simples;',';Curva;',';Pleno dia;"');";;;;
262;,;262;,';Chuva;',';Crescente;',';Dupla;',';Reta;',';Pleno dia;"');";;;;
263;,;263;,';Céu Claro;',';Decrescente;',';Simples;',';Curva;',';Pleno dia;"');";;;;
264;,;264;,';Nublado;',';Decrescente;',';Dupla;',';Reta;',';Anoitecer;"');";;;;
265;,;265;,';Céu Claro;',';Decrescente;',';Dupla;',';Reta;',';Pleno dia;"');";;;;
266;,;266;,';Nublado;',';Decrescente;',';Múltipla;',';Reta;',';Pleno dia;"');";;;;
267;,;267;,';Nublado;',';Decrescente;',';Simples;',';Curva;',';Pleno dia;"');";;;;
268;,;268;,';Chuva;',';Crescente;',';Simples;',';Reta;',';Pleno dia;"');";;;;
269;,;269;,';Chuva;',';Crescente;',';Simples;',';Ponte;',';Pleno dia;"');";;;;
270;,;270;,';Chuva;',';Crescente;',';Simples;',';Não Informado;',';Plena Noite;"');";;;;
271;,;271;,';Chuva;',';Crescente;',';Dupla;',';Reta;',';Plena Noite;"');";;;;
