id_Participantes;;id_Acidente;;pessoas;;mortos;;feridos_leves;;feridos_graves;;ilesos;;ignorados;;feridos;;veiculos;;;;;
243;,;243;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;;;
244;,;244;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;;;
245;,;245;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;;;
246;,;246;,;2;,;0;,;1;,;0;,;1;,;0;,;1;,;2;");";;;;
247;,;247;,;8;,;0;,;4;,;1;,;1;,;2;,;5;,;3;");";;;;
248;,;248;,;1;,;0;,;1;,;0;,;0;,;0;,;1;,;1;");";;;;
249;,;249;,;2;,;1;,;0;,;0;,;1;,;0;,;0;,;1;");";;;;
250;,;250;,;2;,;0;,;1;,;0;,;1;,;0;,;1;,;2;");";;;;
251;,;251;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;;;
252;,;252;,;2;,;0;,;0;,;1;,;1;,;0;,;1;,;2;");";;;;
253;,;253;,;5;,;0;,;2;,;0;,;3;,;0;,;2;,;4;");";;;;
254;,;254;,;4;,;0;,;0;,;1;,;2;,;1;,;1;,;4;");";;;;
255;,;255;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;;;
256;,;256;,;2;,;0;,;1;,;0;,;1;,;0;,;1;,;2;");";;;;
257;,;257;,;2;,;0;,;1;,;0;,;1;,;0;,;1;,;2;");";;;;
258;,;258;,;2;,;0;,;1;,;0;,;1;,;0;,;1;,;2;");";;;;
259;,;259;,;2;,;0;,;0;,;0;,;2;,;0;,;0;,;2;");";;;;
260;,;260;,;2;,;0;,;0;,;1;,;1;,;0;,;1;,;2;");";;;;
261;,;261;,;2;,;1;,;0;,;0;,;1;,;0;,;0;,;2;");";;;;
262;,;262;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;;;
263;,;263;,;4;,;0;,;3;,;0;,;1;,;0;,;3;,;2;");";;;;
264;,;264;,;2;,;1;,;0;,;0;,;1;,;0;,;0;,;1;");";;;;
265;,;265;,;2;,;0;,;1;,;0;,;1;,;0;,;1;,;2;");";;;;
266;,;266;,;4;,;1;,;0;,;0;,;2;,;1;,;0;,;1;");";;;;
267;,;267;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;;;
268;,;268;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;;;
269;,;269;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;;;
270;,;270;,;1;,;0;,;0;,;0;,;1;,;0;,;0;,;1;");";;;;
